S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE
688286.SH,20240301,42.3000
837821.BJ,20240301,18.1800
002928.SZ,20240301,5.6100
603808.SH,20240301,7.8500
002778.SZ,20240301,10.0300
605108.SH,20240301,29.0000
000688.SZ,20240301,9.9100
603111.SH,20240301,5.6000
603757.SH,20240301,23.0100
603918.SH,20240301,16.6800
002627.SZ,20240301,4.9200
002012.SZ,20240301,4.1400
603729.SH,20240301,21.6500
301339.SZ,20240301,16.8100
002898.SZ,20240301,9.9600
002097.SZ,20240301,6.8200
301223.SZ,20240301,15.6000
600517.SH,20240301,4.8900
600662.SH,20240301,4.6900
002962.SZ,20240301,14.2000
600861.SH,20240301,18.5200
601801.SH,20240301,7.1300
000713.SZ,20240301,7.3900
603612.SH,20240301,11.9300
301489.SZ,20240301,70.0800
605050.SH,20240301,11.1300
300729.SZ,20240301,17.7500
000571.SZ,20240301,2.3600
300626.SZ,20240301,7.0800
301518.SZ,20240301,17.2600
601369.SH,20240301,8.2400
300640.SZ,20240301,4.7700
000338.SZ,20240301,16.3300
300671.SZ,20240301,26.0100
002140.SZ,20240301,7.7700
301179.SZ,20240301,22.9600
600297.SH,20240301,1.5600
300018.SZ,20240301,4.9800
688598.SH,20240301,50.5200
000789.SZ,20240301,6.4700
603669.SH,20240301,3.8400
688307.SH,20240301,20.9900
301421.SZ,20240301,50.8400
001308.SZ,20240301,28.5200
300199.SZ,20240301,13.7800
000876.SZ,20240301,8.8500
000099.SZ,20240301,9.8800
000609.SZ,20240301,4.7500
688631.SH,20240301,29.1900
600452.SH,20240301,12.1500
688401.SH,20240301,28.2000
300041.SZ,20240301,8.8300
688333.SH,20240301,82.8300
688585.SH,20240301,6.0500
002245.SZ,20240301,8.0000
002675.SZ,20240301,15.1200
834682.BJ,20240301,7.2600
300232.SZ,20240301,6.7200
600167.SH,20240301,5.9000
688981.SH,20240301,48.5100
688679.SH,20240301,8.9400
001205.SZ,20240301,14.9700
300457.SZ,20240301,16.5200
605305.SH,20240301,39.1000
301316.SZ,20240301,20.1200
603045.SH,20240301,11.0200
000006.SZ,20240301,4.1500
300841.SZ,20240301,62.9700
000538.SZ,20240301,50.4900
688097.SH,20240301,26.5400
000589.SZ,20240301,5.7900
300993.SZ,20240301,9.7700
002446.SZ,20240301,6.9900
300732.SZ,20240301,7.1800
688539.SH,20240301,39.0200
838670.BJ,20240301,12.5300
688499.SH,20240301,28.6700
000040.SZ,20240301,3.0900
000544.SZ,20240301,6.9200
000590.SZ,20240301,6.6600
600141.SH,20240301,19.4000
600965.SH,20240301,4.8400
688026.SH,20240301,11.7800
837046.BJ,20240301,7.3000
688351.SH,20240301,25.6000
688117.SH,20240301,26.2000
600707.SH,20240301,7.2300
601865.SH,20240301,21.9400
002935.SZ,20240301,16.3000
002249.SZ,20240301,5.0100
688247.SH,20240301,8.2900
000807.SZ,20240301,11.8600
301371.SZ,20240301,31.7100
600748.SH,20240301,3.2300
605196.SH,20240301,8.9900
600272.SH,20240301,9.7200
603901.SH,20240301,10.4700
000932.SZ,20240301,5.6400
600844.SH,20240301,2.7000
300630.SZ,20240301,19.0700
000056.SZ,20240301,2.7400
831304.BJ,20240301,7.2900
600019.SH,20240301,6.6800
